,SRR1463325,SRR1463326,SRR1463334,SRR1463335
AT1G04530,250,340,107,102
AT1G04540,0,0,0,0
AT1G04550,69,44,11,5
AT1G04555,20,1,45,6
AT1G04560,0,0,0,0
AT1G04570,5,2,0,92
AT1G04580,30,0,0,0
AT1G04590,13,14,170,2
AT1G04600,26,11,0,14
AT1G04610,3,0,0,0
AT1G04620,71,51,1,48
AT1G04625,0,1,0,0
AT1G04630,20,78,34,37
AT1G04635,0,0,0,1
AT1G04640,77,50,0,0
AT1G04645,0,0,0,0
AT1G04650,37,1,0,12
AT1G04660,0,0,0,0
AT1G04670,0,0,0,0
AT1G04680,52,0,0,0
AT1G04684,0,0,0,0
AT1G04690,424,1113,250,310
AT1G04700,24,2,0,17
AT1G04710,97,56,2,39
AT1G04720,0,0,0,0
AT1G04730,1,18,0,0
AT1G04750,59,43,119,53
AT1G04760,0,0,38,0
AT1G04770,67,128,236,368
AT1G04778,0,0,0,0
AT1G04780,430,173,20480,1173
AT1G04790,77,77,10,122
AT1G04800,19592,11070,97787,148297
AT1G04810,192,133,532,356
AT1G04820,175,172,64,31
AT1G04830,129,97,278,73
AT1G04840,3,33,0,0
AT1G04850,136,92,134,66
AT1G04860,101,113,54,88
AT1G04870,17,11,2,6
AT1G04880,0,0,0,0
AT1G04890,0,0,0,0
AT1G04900,12,86,0,0
AT1G04910,41,11,57,8
AT1G04920,6,4,34,22
AT1G04930,8,35,10,0
AT1G04940,0,0,0,0
AT1G04945,16,1,20,21
AT1G04950,149,224,45,153
AT1G04960,90,53,113,212
AT1G04970,190,101,522,363
AT1G04980,63,13,9,4
AT1G04985,103,108,77,551
AT1G04990,146,68,894,215
AT1G05000,15,6,3,4
AT1G05010,562,278,81,118
AT1G05020,0,1,0,9
AT1G05030,13,8,0,8
AT1G05040,7,0,0,0
AT1G05055,56,0,3,40
AT1G05060,27,5,93,55
AT1G05065,0,0,0,0
AT1G05070,19,9,0,0
AT1G05080,0,0,0,0
AT1G05085,0,0,0,0
AT1G05090,0,1,0,0
AT1G05100,770,849,119,248
AT1G05120,232,125,164,514
AT1G05136,0,0,0,0
AT1G05140,44,24,1,8
AT1G05150,133,39,149,118
AT1G05160,102,0,0,36
AT1G05170,66,21,1814,111
AT1G05180,86,33,41,38
AT1G05190,641,476,0,15
AT1G05200,124,44,1,0
AT1G05205,10,8,18,14
AT1G05210,1,0,0,0
AT1G05220,14,47,85,32
AT1G05230,71,74,117,78
AT1G05240,0,0,0,0
AT1G05250,0,0,0,0
AT1G05260,1,2,0,0
AT1G05270,42,19,174,59
AT1G05280,0,0,0,0
AT1G05290,0,0,0,0
AT1G05291,0,0,0,0
AT1G05300,1,3,0,16
AT1G05310,0,0,0,0
AT1G05320,13,1,4,25
AT1G05330,0,6,0,0
AT1G05340,344,197,20,5
AT1G05350,120,33,7,22
AT1G05360,21,6,13,6
AT1G05370,1,0,0,0
AT1G05380,245,179,1181,691
AT1G05385,18,11,0,20
AT1G05390,0,0,0,0
AT1G05400,0,0,11,3
AT1G05410,52,53,0,6
AT1G05420,0,0,0,0
AT1G05430,172,14,2,41
AT1G05440,10,0,0,0
AT1G05450,0,0,0,0
AT1G05460,19,19,0,1
AT1G05470,20,10,0,4
AT1G05490,0,0,0,7
AT1G05500,202,157,120,62
AT1G05510,10,0,0,0
AT1G05520,87,36,326,187
AT1G05530,0,0,0,4
AT1G05540,39,2,7,0
AT1G05550,0,0,0,3
AT1G05560,2229,1215,23592,10688
AT1G05562,605,509,2541,2909
AT1G05570,332,172,35,71
AT1G05575,25,50,0,6
AT1G05577,0,0,0,0
AT1G05580,0,0,0,0
AT1G05590,5,9,0,14
AT1G05600,8,11,0,5
AT1G05610,1,0,0,1
AT1G05615,0,0,0,0
AT1G05620,6,0,2,0
AT1G05630,210,67,7,16
AT1G05640,166,219,0,4
AT1G05650,0,0,0,0
AT1G05660,0,0,0,0
AT1G05670,234,128,58,103
AT1G05675,662,132,7921,940
AT1G05680,843,371,710135,1424
AT1G05690,31,6,0,7
AT1G05700,30,1,0,0
AT1G05710,8,20,0,0
AT1G05720,10,13,66,3
AT1G05730,0,1,0,0
AT1G05740,0,0,0,0
AT1G05750,24,8,0,267
AT1G05760,4,7,0,0
AT1G05770,0,0,0,0
AT1G05780,18,0,11,59
AT1G05785,103,19,48,65
AT1G05790,215,109,165,83
AT1G05800,0,0,0,0
AT1G05805,30,15,220,61
AT1G05810,20,43,5,7
AT1G05820,42,5,9,19
AT1G05830,381,286,80,194
AT1G05835,16,5,5,36
AT1G05840,204,52,4,52
AT1G05850,464,323,371,138
AT1G05860,18,63,0,9
AT1G05870,25,47,0,1
AT1G05880,0,0,0,0
AT1G05890,654,185,833,293
AT1G05894,2,0,0,0
AT1G05900,11,22,15,0
AT1G05910,34,33,107,37
AT1G05920,22,0,0,0
AT1G05925,0,0,0,0
AT1G05930,0,0,0,0
AT1G05940,107,51,107,143
AT1G05950,20,0,0,0
AT1G05960,669,337,651,1069
AT1G05970,6,34,0,10
AT1G05980,0,0,0,0
AT1G05990,0,0,0,0
AT1G06000,48,11,0,74
AT1G06002,48,4,0,34
AT1G06010,17,4,0,0
AT1G06020,3,0,0,0
AT1G06030,0,0,0,1
AT1G06040,191,1886,139,244
AT1G06050,9,9,41,38
AT1G06060,24,26,29,56
AT1G06070,102,73,122,200
AT1G06080,0,2,0,0
AT1G06090,2,4,0,0
AT1G06100,0,0,0,0
AT1G06110,87,18,125,6
AT1G06120,0,0,0,0
AT1G06130,145,157,0,14
AT1G06135,8,0,0,0
AT1G06137,0,0,0,0
AT1G06140,2,21,24,2
AT1G06148,0,2,101,9
AT1G06149,0,0,0,0
AT1G06150,7,0,4,2
AT1G06160,0,0,0,0
AT1G06170,2,3,0,0
AT1G06180,5,3,1,0
AT1G06190,125,73,16,25
AT1G06200,24,81,353,130
AT1G06210,450,135,361,381
AT1G06220,139,30,78,87
AT1G06225,0,0,0,0
AT1G06230,572,277,1014,717
AT1G06240,180,65,2,12
AT1G06250,122,38,14,6
AT1G06260,0,13,0,0
AT1G06265,10,13,0,3
AT1G06270,20,22,0,0
AT1G06280,0,0,0,0
AT1G06290,520,259,792,730
AT1G06310,1,1,0,0
AT1G06320,0,0,0,0
AT1G06330,0,0,0,0
AT1G06340,0,0,0,0
AT1G06350,1,0,0,0
AT1G06360,14,11,0,0
AT1G06380,0,0,1,0
AT1G06390,1232,185,1247,178
AT1G06400,552,254,1693,277
AT1G06410,1419,883,256,591
AT1G06420,10,9,0,33
AT1G06430,999,722,271,645
AT1G06440,18,1,3,0
AT1G06450,22,16,0,6
AT1G06460,10,41,1,6
AT1G06470,22,3,3,3
AT1G06475,0,1,0,0
AT1G06480,0,0,0,0
AT1G06490,2,3,0,0
AT1G06500,1,12,49,3
AT1G06510,19,16,0,1
AT1G06515,72,59,741,55
AT1G06520,2,6,0,0
AT1G06530,280,159,160,252
AT1G06540,4,0,0,6
AT1G06550,72,25,0,49
AT1G06560,121,97,82,31
AT1G06570,363,173,825,202
AT1G06580,33,3,0,5
AT1G06590,25,7,14,48
AT1G06610,0,0,0,0
AT1G06620,67,14,118,105
AT1G06630,509,121,4287,448
AT1G06640,67,52,17,209
AT1G06645,30,2,1,5
AT1G06650,57,11,0,13
AT1G06660,8,27,0,0
AT1G06670,257,164,29,90
AT1G06680,2373,2802,153,99
AT1G06690,132,108,2,11
AT1G06700,281,103,26,184
AT1G06710,2,3,24,16
AT1G06720,50,66,91,60
AT1G06730,11,11,4,21
AT1G06750,119,50,18,0
AT1G06760,117,146,242,284
AT1G06770,51,16,3,80
AT1G06780,85,35,286,118
AT1G06790,49,4,678,304
AT1G06800,61,15,791,358
AT1G06810,0,0,0,0
AT1G06820,103,67,1,12
AT1G06830,0,0,0,0
AT1G06840,311,336,707,384
AT1G06850,17,8,6,6
AT1G06860,0,0,0,0
AT1G06870,61,19,318,201
AT1G06880,0,0,0,0
AT1G06890,407,243,807,435
AT1G06900,95,49,54,45
AT1G06910,9,0,1,198
AT1G06920,0,0,0,0
AT1G06923,0,0,0,0
AT1G06925,0,0,0,0
AT1G06930,0,0,0,0
AT1G06950,896,353,188,217
AT1G06960,5,4,0,0
AT1G06970,0,1,0,0
AT1G06980,0,0,0,0
AT1G06990,0,0,0,0
AT1G07000,1276,1360,61,104
AT1G07010,161,173,7,68
AT1G07020,67,43,0,5
AT1G07025,63,25,0,0
AT1G07030,490,77,438,952
AT1G07040,125,71,151,125
AT1G07050,1,0,0,0
AT1G07051,2,0,0,0
AT1G07060,0,0,0,0
AT1G07070,0,0,0,0
AT1G07080,61,65,57,114
AT1G07090,0,0,0,0
AT1G07100,0,0,0,0
AT1G07110,1489,592,86,2970
AT1G07119,6,3,0,0
AT1G07120,4,0,0,0
AT1G07128,9,7,5,9
AT1G07130,20,12,73,2
AT1G07135,4962,2267,2107,102
AT1G07140,352,320,822,845
AT1G07150,193,87,12,14
AT1G07160,872,310,3073,4720
AT1G07170,62,37,31,7
AT1G07175,0,0,0,0
AT1G07180,384,521,0,2
AT1G07190,0,0,0,0
AT1G07200,116,55,207,308
AT1G07210,61,21,7,26
AT1G07220,12,3,0,5
AT1G07230,70,83,169,202
AT1G07240,66,26,182,161
AT1G07250,58,8,70,70
AT1G07260,6,1,0,0
AT1G07270,0,0,0,0
AT1G07280,58,106,1,27
AT1G07290,0,0,0,0
AT1G07300,35,29,0,10
AT1G07310,878,317,1584,848
AT1G07320,1153,824,45,26
AT1G07330,4,0,0,0
AT1G07340,0,0,0,0
AT1G07350,171,275,281,1460
AT1G07360,250,234,920,598
AT1G07370,0,7,0,1
AT1G07380,22,36,0,2
AT1G07390,62,13,43,5
AT1G07400,2177,3371,1173,22953
AT1G07410,39,29,0,42
AT1G07420,53,121,1,20
AT1G07430,26,47,11,6
AT1G07440,206,34,37,0
AT1G07450,7,2,0,0
AT1G07460,0,0,0,0
AT1G07470,41,15,3,42
AT1G07473,0,3,0,0
AT1G07476,0,0,0,0
AT1G07480,90,56,3,86
AT1G07485,0,5,0,0
AT1G07490,0,4,0,0
AT1G07500,1,3,1,20
AT1G07510,257,129,64,353
AT1G07520,115,21,0,18
AT1G07530,222,141,181,241
AT1G07540,0,0,0,0
AT1G07550,1,0,0,0
AT1G07560,3,4,0,0
AT1G07570,494,283,2615,918
AT1G07580,0,0,0,0
AT1G07590,21774,6363,39935,22568
AT1G07600,0,0,0,0
AT1G07610,41,12,43,8
AT1G07615,20,1,0,29
AT1G07620,22,15,3,6
AT1G07630,392,81,466,396
AT1G07640,24,13,0,5
AT1G07645,0,0,0,0
AT1G07650,143,153,112,18
AT1G07660,3,9,9,19
AT1G07670,159,200,105,187
AT1G07680,0,0,0,0
AT1G07690,0,0,0,0
AT1G07700,269,144,342,145
AT1G07702,0,0,0,1
AT1G07705,97,38,34,59
AT1G07710,96,25,0,47
AT1G07720,9,3,78,80
AT1G07725,75,21,0,45
AT1G07728,78,8,0,28
AT1G07730,0,0,0,0
AT1G07740,14,9,0,0
AT1G07745,61,10,0,8
AT1G07747,0,0,0,0
AT1G07750,65,0,619,26
AT1G07760,0,0,0,0
AT1G07770,1884,1171,274,131
AT1G07780,2,0,0,0
AT1G07790,0,0,1,2
AT1G07795,13,0,0,0
AT1G07810,100,181,156,288
AT1G07820,37,5,28,13
AT1G07830,20,12,47,0
AT1G07840,13,11,10,8
AT1G07850,157,27,0,0
AT1G07860,0,0,0,0
AT1G07870,793,386,95,129
AT1G07880,28,4,15,3
AT1G07885,10,0,0,0
AT1G07890,2891,1598,2357,1772
AT1G07900,2,0,0,4
AT1G07901,0,0,0,0
AT1G07910,65,46,10,93
AT1G07920,627,725,106,179
AT1G07930,1122,724,420,395
AT1G07940,186,61,48,88
AT1G07950,5,4,0,29
AT1G07960,5,11,8,36
AT1G07970,21,5,16,6
AT1G07980,20,10,1,21
AT1G07985,2,1,0,5
AT1G07990,299,98,382,758
AT1G08000,41,27,2,36
AT1G08005,0,0,0,0
AT1G08010,95,14,232,49
AT1G08030,70,12,41,168
AT1G08032,0,0,0,0
AT1G08035,0,0,0,0
AT1G08040,17,49,89,24
AT1G08050,184,88,187,318
AT1G08060,146,102,1134,287
AT1G08065,0,0,0,0
AT1G08070,8,0,0,9
AT1G08080,0,0,0,0
AT1G08090,0,0,0,0
AT1G08100,0,1,0,0
AT1G08110,59,89,3,81
AT1G08115,0,0,0,0
AT1G08120,3,0,10,1
AT1G08125,16,6,102,0
AT1G08130,70,27,38,95
AT1G08135,0,0,0,0
AT1G08140,0,0,0,0
AT1G08150,0,0,0,0
AT1G08160,12,5,0,0
AT1G08165,0,9,18,3
